artist|song|youtube_key|spotify_key
!!!|One Girl / One Boy|STz5dlEJ6ZI|65DFmRHZGsDXxzK0H0Epi3
!!!|Slyd|l1GnHqNaoRM|2AVR7f1ftv0ziCrRWProKS
(Crosses) +++|Bitches Brew|HJ4MMmw2HZk|
44th Sunset|Caesar|L7F_PRrtDEs|063cQdW2conNrR8l6aBFNd
65daysofstatic|Blackspots|oRlhBB0Y_BE|3575u5f8RAhpBB3VnZRxPD
A Day To Remember|Right Back At It Again|rbiOz51b43Y|3hZVFVByKea36JhkVaKG59
A Day To Remember|City Of Ocala|f3Sl1lL1ybY|3r0BQ5d8TOS8SPsA32M2pb
A$AP Rocky|Hell {Ft. Santigold}|Ayu6907JZZg|
A$AP Rocky|F**kin' Problems {Ft. Drake, 2 Chainz  Kendrick Lamar}|liZm1im2erU|
A$AP Rocky|Wild For The Night {Ft. Skrillex}|1eWdbMBYlH4|
A$AP Rocky|Fashion Killa|/results?search_query=Fashion+Killa+ASAP+Rocky|40H5libEZWrbkc8HTlXGbt
A-Trak|Disco Nap|5QWPzWrb-a0|1XqYhYfcjPucoJ72wfSJNW
AFI|17 Crimes|Y9Vh8XGgqjE|1uxhZNYgK4fL8bN9LSyvk3
AFI|I Hope You Suffer|DSNyOYT3dJ8|7AX7C2oJrN1ZLkLyBlofz1
Abbe May|T.R.O.U.B.L.E.|Qs-j9ZEApLQ|0omtr8PQIJx2ju41FncV3V
Abbe May|Perth Girls|Iq0yBgHlW6s|4hjghT940yLa4enikaqfeK
Abbe May|Pony {Like A Version}|2-tqPsx7z5o|
Abbe May|Sex Tourette's|_TPutu0CcGg|1VArd8geK5Gs6PNgM1mMlB
Action Bronson|Strictly 4 My Jeeps|yfP7qK0khuQ|0PDGCtMLGQ6zbKMMuqltuY
Active Child|Evening Ceremony|fkj5wz8oiiY|21bKuvskZfpiS24gqaWGTU
Adalita|Trust Is Rust|1rH62UXAB28|0upSLaB0VmEW8CEZUMmJRT
Adalita|All Day Venus|QkllvDM7ysY|2O8epnhlmuu0YtCrFUjGES
Against Me!|FUCKMYLIFE666|5kZPISrHCDA|24r721PpFvrYZ2CqIVbSwL
Ainslie Wills|Weighing The Promises|HWTyApl-gQI|2BSGpMXB3DMyV8T4DY1IU5
Ainslie Wills|Lemon Japan|GFSz9TVXLCY|6ym8ITS3mtpYsG6J0LRzf7
Alex Winston|101 Vultures|HR_pX5jyPKQ|3QatFdV6WULnL12Aj4Q1cW
Alison Wonderland|Get Ready|WOqmOCOonV0|15638mxTIegh15m4ieq8ZI
Alkaline Trio|She Lied To The FBI|L611BmxKNhU|1Q08gPF65ryu7jHCGCrCN8
All Day|Girl in the Sun (feat. Brady James)|9LxQAn3BpgM|0j5OJqpycf2TVUIwy33T5K
All The Colours|Second To None|bonpY7qgIFk|1onYeHefnZEpQ3qLsavdex
Allday|Claude Monet|mGp5oA1fd28|1v8TPcbmH9tdeDf6obefNP
Allday|Girl In The Sun|9LxQAn3BpgM|
Alunageorge|Attracting Flies|7d_HD89ZlJE|1DObcq9MoYIEFuKS6SOCqQ
Alunageorge|You Know You Like It|FWR9MR5juWI|70adgkFUakt1DgxqwTMC6X
Amali Ward|Knock You Out|ZLxtdTiQfcY|0rk8qZiBDbqQF5fxDBPmNP
Amity Affliction, The|Born To Die|1mzbMhr0L2Y|2BmvafX08HneGOFozVGB6P
Ancients, The|Hey Now|ceFK1BAFkcc|6bbEM1Ac29t3YqxguSJunC
Andy Bull|Baby I Am Nobody Now|u1iFJg7TMoA|0lDoSRqzY9FWXn0x986cd4
Andy Bull|Keep On Running|JSGUxRWR_r8|5G8GrAiGRft9xf9I521Opz
Angel Haze|No Bueno|EbyjbUdNhNI|3bftPPDX0fbWB7LcRIF9Mz
