artist|song|youtube_key|spotify_key
Davey Lane|She's A Timebomb|Vhh0aMXBIe8|
Davidge|Gallant Foxes {Ft. Cate Le Bon}|3eNochQyUHc|
Dawn Golden|All I Want|qwyzdWVDGZ4|
Day Ravies|This Side Of The Fence|s4UHZBYu21A|
Daybreak|Retribution|GnXe-Vuk-Cc|
De La Soul|Dilla Plugged In|gJeVTpWS5ZE|
De Lux|It All Works All The Time|ATcxZYqE50E|
Dead Letter Circus|Killing In The Name {Like A Version 2014}|-Lo9f3knk5w|
Dead Weather, The|Buzzkill(er)|yI9pirG_Lx0|
Dead Weather, The|Open Up (That's Enough)|3lYstaUzjHs|
Deadmau5|My Pet Coelacanth|1ELVwNAMv2o|
Deadmau5|Mercedes|hEF6-LIq3Oc|
Deadmau5|Pets|1wLxCpSmYQo|
Deadmau5|Avaritia|Gpspgp3QQqo|
Deadmau5|Infra Turbo Pigcart Racer|TrbOZUOE_YE|
Deadmau5|Errors In My Bread||
Deadmau5|Phantoms Can't Hang|v6o69eV6vLo|
Deadmau5|Monday|8yCmQVF2-2U|
Deadmau5|Somewhere Up Here|5kqdkNp-uW0|
Deadmau5|Seeya {Ft. Colleen D'Agostino}|8jL2DPylmhE|
Dean Blunt|100||
Dean Blunt|50 Cent|YQfwPziK-SA|
Death From Above 1979|Crystal Ball|aa7wGU0-P40|
Death From Above 1979|Government Trash|iBNxadj-25c|
Death From Above 1979|Trainwreck 1979|wqBYHrw9_ys|
Death From Above 1979|White Is Red|xnlaOkCEwxg|
Death Grips|Black Quarterback {Ft. Bjork}|LdEK8ghRBIo|
Death Grips|Billy Not Really {Ft. Bjork}|S5-zUqcnvDU|
Decemberists, The|Make You Better|Xq76aQRmbQA|
Deerhoof|Paradise Girls|SkGB8r012q8|
Deers|Bamboo|mk-5w3Di0jk|
Deers|Castigadas en el Granero|4Fu7wpRz87Q|
Deja|Sirens|6v5NzdyFQek|
Deja|Heart|w61i_ngWIeA|
Deja|Heavy Water|WNDtb9ecWEs|
Del The Funkee Homosapien|Grand Royal|nobOlsC4yNU|
Delta|Pyramid Schemes|7Ud_w-E-MNI|
Delta|Gourmet (Ft. Mojo The Cinematic & Milano Constantine)||
Delta Riggs, The|For Tonight (Live Forever)|bPaWyHuYNCE|
Delta Riggs, The|Telescope House||
Delta Riggs, The|Supersonic Casualties|RQ4eOj2Q8SQ|
Delta Riggs, The|Gooey {Like A Version 2014}|h7t8VCwVUnY|
Delta Riggs, The|It's Over||
Delta Riggs, The|The Record's Flawed|KEgB2ra5su8|
Delta Riggs, The|Ornate Delicate Creatures||
Delta Riggs, The|From My Mould||
Delta Riggs, The|Bobby's Flowers|IZSSTYlvNxQ|
Deptford Goth|The Lovers|hw5_6v2Aq_w|
Deutsch Duke|Feels Good|TETkqb_u_zk|
Diafrix|The Sign|zo_ruWg-e1U|
Dianas|Weightless|UykI1w_-mQQ|
Dianas|Static|6MUdH1kpbw4|
Dick Diver|New Name Blues||
Die Antwoord|Ugly Boy|uMK0prafzw0|
Die Antwoord|Pitbull Terrier|JvMXVHVr72A|
Die! Die! Die!|Get Hit|UkHuB6IJb1I|
Digitalism|Wolves|foXJAV4bRiE|
Digitalism|Fahrenheit 32|Ml9IcHZf7to|
Dilated Peoples|Century of the Self|pEtgfVlQ0wU|
Dillion Francis & DJ Snake|Get Low|12CeaxLiMgE|
Dillon Francis|I Can't Take It|nYKchw7cfdA|
Dillon Francis|Not Butter|-9-poV6opE8|
Dillon Francis|We Make It Bounce {Ft. Major Lazer & Stylo G}|ExY0exavZrY|
Dillon Francis|Set Me Free {Ft. Martin Garrix}|jkJkrl_T1jk|
Dillon Francis|We Are Impossible {Ft. The Presets}|ogdrGcJ9HhA|
Disclosure|F For You {Ft. Mary J Blige}|n0FOPTYJPXw|
Disclosure & Friend Within|The Mechanism|lPe7zxfxJmQ|
Districts, The|Rocking Chair|5v6sS87Rmac|
Districts, The|Long Distance|h2HpX5uJS5w|
Districts, The|4th & Roebling||
Dizzee Rascal|Pagans|1n2cyZt5IDE|
Django Django|Porpoise Song|wYRm96H0igE|
Do, The|Keep Your Lips Sealed|2NrqmMu0hqE|
Donny Benet|Endless {Ft. Isabella Manfredi}||
Doprah|Stranger People|qcWRPIRxn2E|
Dorsal Fins|Monday Tuesday|fwT4vVwF6mA|
Dorsal Fins|Nothing Left To Hide {Ft. Jarrad Brown}||
Dr Don Don|Lost Canyon {Ft. Gwen McCrae}|0EvVlT0DnU8|
Drake|How Bout Now {Prod. By Boi-1da & Jordan Evans}|8PdIgiFah3Y|
Dream On, Dreamer|Darkness Brought Me Here|dHLnnafFFhA|
Drunk Mums|Plastic|ax6y7kvDzoc|
Drunk Mums|Nanganator|rFk0mw_U3co|
Dry The River|Everlasting Light|C4XynrxpDI8|
Duck Sauce|Everyone {Ft. Teddy Toothpick}|sj3400oxy0o|
Duck Sauce|NRG|sDei-00nGzg|
Duck Sauce|Radio Stereo|9gsveKB4UMk|
Duke Dumont|Mumble Man|lLoZ_29UYd4|
Duke Dumont|I Got U {Ft. Jax Jones}|FHCYHldJi_g|
Duke Dumont|Won't Look Back|kv_cwzAIOHs|
Dum Dum Girls|Evil Blooms|H9onxNsJ_fY|
Dum Dum Girls|Rimbaud Eyes|QDYRQX6FPQQ|
Dune Rats|Dalai Lama, Big Banana, Marijuana|43Oo6-RB4Xs|
Dune Rats|Superman|FtVyuyrXKWw|
Dune Rats|ET||
Dune Rats|Funny Guy|lU3n6vRX8yY|
Dune Rats|Home'sick|b56PyPnXoCk|
Dusky|Love Taking Over|znf1_OR3cAk|
Dusky|Inta|-04NqbadQj8|
Dustin Tebbutt|Young Folks {Like A Version 2014}|3uOexSrmesc|
Dustin Tebbutt|Bones|OysNiYXWga0|
Dutch Uncles|In n Out|HzRf43nAWE8|
Dylan Joel|Numbers||
EMA|So Blonde|GvyUN0P6yvk|
Eagle & The Worm|Automatic|wOdi59VLXK4|
Eagulls|Amber Veins||
East|Old Age|27awNyz-qdQ|
East|Your Ghost||
East Brunswick All Girls Choir|Mon Repos (Charlie's Jam)|LWs46r8Jj9c|
East Brunswick All Girls Choir|Dirty Bird||
East India Youth|Heaven, How Long|tXNBIWqnYrw|
East India Youth|Looking For Someone|1wL_JE_ksh8|
East Journey|Song Of Arnhem Land {Ft. Yothu Yindi}||
Eaves|As Old As The Grave|NAUjLZLH750|
Ecca Vandal|White Flag|MIfne0Z5OJk|
Eels|Mistakes Of My Youth|it8bSb-THFI|
Ela Stiles|Kumbh Mela|MwqRCKcbqGQ|
Ela Stiles|Drone Transitions||
Elana Stone|Panic Attack||
Elbow|Fly Boy Blue/Lunette|dELKUivJo4w|
Eleanor Dunlop|Rough Side Of Town|sRD70ZOmJhg|
Elephant|Elusive Youth|XFWglJ2PfPc|
Eliot Sumner|Information|XD4b0fSuB6c|
Eliza Hull|Caught|BTOmOK_NB9A|
Elizabeth Rose|Is It Love?|FPKeOU50Kf4|
Elizabeth Rose|Sensibility|TV4r-cy677g|
Ella Eyre|If I Go|JJr80jXCepc|
Ella Hooper|In Tongues||
Elliphant|Revolusion|QTRGx6kv3ps|
Elliphant|One More {Ft. MØ}|Sx1mHSo7ug4|
Emma Russack|Get Back|D8Ln7Ar89i4|
Emma Russack|Paris|zvAJMDG-mr8|
Emma Russack|You Shouldn't|wy7J1KSzC7E|
Emperors|Automatic Sigh||
Emperors|Shooting From The Bell Tower|D9hxnCTKILM|
Enter Shikari|The Last Garrison|TUAgotnkrL4|
Erlend Oye|Garota|RVsAlk53pBs|
Ernest Ellis|Inside Outside|HJDYInw-h7Q|
Etienne De Crecy|Hashtag My Ass|hc0S9Qg9Imc|
Etienne De Crecy|Night (Cut The Crap)|pnp92P7X69M|
Eugene McGuinness|Godiva|Tdy8aDmNtKE|
Evan & The Brave|Rescuer|zDRZFYCeSuM|
Every Time I Die|Overstayer|Wie7GOtyw3Y|
Every Time I Die|Decayin' With The Boys|wVmlf6koQXA|
Every Time I Die|Thirst|4wAqPzgfR1s|
Ex Cops|White Noise|FZntx2YpGvQ|
Ex Hex|Don't Wanna Lose|2ZVn1UrCvjc|
Eyedress|My Hologram|FU8bPy4Eb1Q|
FKA twigs|Give Up|cH-Gw4lAYp4|
FKA twigs|Video Girl|2jhTiLuGezI|
FKA twigs|Lights On|kqFnLSGBVCY|
FKA twigs|Two Weeks|3yDP9MKVhZc|
FKA twigs|Closer|2jS_VtagNx0|
FKA twigs|Numbers|9sVSclRC7oc|
FKA twigs|Pendulum|Cw6H9YsTLek|
FTSE|Utopia||
Fabergettes, The|Ready To Go|TCMSrT3sqFI|
Fait|Halcyon|UwQRXuOeRJE|
Fait|Slow Glow|Mfq065L9Q9M|
Faith No More|Motherfucker|52ZqiSHehnY|
Falls|Into The Fire|Iq2aBPL2iR0|
Fat Freddy's Drop|Slings And Arrows||
Fat White Family, The|I Am Mark E Smith|wqFkzC8lTmg|
Fatima|Ridin' Round (Sky High)|QLJt7TbFMHU|
Felicity Groom|Move Your Muscles|jP0jNT9YLQo|
Felicity Groom|Higher, Higher, Taller, Taller|wVTC3IufhdM|
Fences|Arrows {Ft. Macklemore & Ryan Lewis}|ph6fmk27grc|
Fever The Ghost|Source|9RHFFeQ2tu4|
Fieldings|Come Easy At Me||
Fieu|Put It On The Line|vU538XG6zcU|
Firekites|Fallen|16w9xUZHR9c|
Firekites|The Counting|KZan35L8LG0|
First Aid Kit|Master Pretender|51BgWFciimQ|
First Aid Kit|Stay Gold|veHUZMoKObc|
First Aid Kit|My Silver Lining|DKL4X0PZz7M|
First Aid Kit|Love Interruption {Like A Version 2014}|3B_Iyi3u1Pc|
First Aid Kit|Cedar Lane|zKmit_uQrSQ|
First Aid Kit|The Bell|VyhOCEoqPUs|
Fishing|Your Mouth {Ft. Jonas Nicholls}|WlstlV8-7JE|
Fishing|Chi Glow|HwgWQBLdUwk|
Fishing|Nineteen/Boy Wunder {Ft. Alister Wright}|TEx3dhJG5Vk|
Flamingo|Heavy Steps|s4elxO0wcDc|
Flamingo|Drip Away|yIVjJ-LUbCM|
Flex Cop|Placebo|Dn0nMmGSGis|
Flight Facilities|Hold Me Down {Ft. Stee Downes}|SJnJANr30SM|
Flight Facilities|Why Do You Feel {Ft. Bishop Nehru}|HBK9TejcZZk|
Flight Facilities|Down To Earth|/playlist?list=PLsyXdd3h8EH-PZeZKQXVCIAKmoVoKoGY7|
Flight Facilities|Merimbula|90luQzm_Pdo|
Flight Facilities|Heart Attack {Ft. Owl Eyes}|HbVflhKXlz8|
Flight Facilities|Sunshine {Ft. Reggie Watts}|Yuz_8Vxlyjw|
Flight Facilities|Waking Bliss|yXeZZAtlTFw|
Flight Facilities|Apollo|YkugcUqGDYQ|
Flight Facilities|Two Bodies {Ft. Emma Louise}|WmUvFMJpLZU|
Flux Pavilion & Steve Aoki|Steve French|UEDF_IRT9NM|
Flying Lotus|Ideas {Ft. Mapei} {Prod. by DJ Mehdi}|LpCKFpOaTGs|
Flying Lotus|Turkey Dog Coma||
Flying Lotus|Coronus, The Terminator|isk2YifPMgI|
Flying Lotus|Never Catch Me {Ft. Kendrick Lamar}|2lXD0vv-ds8|
Flyying Colours|Not Today|AL962NVzOYQ|
Foo Fighters|The Feast And The Famine|c6fR_mp8gag|
Foo Fighters|Subterranean|Ze5hzWWBrEY|
Foo Fighters|Outside|dV7c6ThfXvs|
Foo Fighters|Something From Nothing|V_YlZ1JdcVk|
Food Court|She's Away|gugCGzVEbog|
Food Court|14 Years Young|xxIE52n2SmQ|
Foreign/National|All Honesty|daru_ZCK_Eg|
Foreign/National|Life Tourist|xqVh7EYoGl4|
Fortunes.|Paper Thin|CsFjjbyqZeo|
Fortunes.|Keeper|o83CPehRGVQ|
Foster The People|Pseudologia Fantastica|5-mTcFGiVzw|
Foster The People|Best Friend|Ndzln1UEyf0|
Foster The People|Nevermind|B-IB6yO_8Uk|
Foster The People|Are You What You Want To Be|dcxu1LSm51w|
Foster The People|Coming Of Age|MBqzrj18S2w|
Foster The People|Ask Yourself|JjpbWJpvGkA|
Foster The People|The Truth|tdPYwMEGP3k|
FourPlay String Quartet|This Machine||
Fox & Fowl|Jungle Punch|Gkmw5zxSl4o|
Foxsmith|Pentimento|hhhKL1PNLAE|
Foxygen|How Can You Really|PqW7EfA3VWE|
Fozzey & VanC|Gimme Love|Dgo51lEqh_4|
Fractures|It's Alright|DNCH2-P0Lfs|
Fractures|Won't Win|6mKQpnbQXVo|
Frames & Elizabeth Rose|Anywhere|LBeY5v-2tug|
Frames & Elizabeth Rose|Intentions|eWe6gtCpc3c|
Francois & The Atlas Mountains|La Verite||
Fraser A Gorman|Book Of Love|Y-nIE39tEos|
Freddie Gibbs & Madlib|High {Ft. Danny Brown}|8fSiyq_W1MM|
Freddie Gibbs & Madlib|Shame {Ft. BJ The Chicago Kid}|85_pYXPOYVQ|
Freddie Gibbs & Madlib|Robes {Ft. Domo Genesis/Earl Sweatshirt}|quIsL19Rmlg|
Freddie Gibbs & Madlib|Uno|_02zy5EAsHI|
French Montana|Ain't Worried About Nothin'|PD6AfcoG4o8|
Friend Within|The Renegade|fx6oykKGag8|
Friendships|Ghost Hear|6egp9LgAa5M|
Frowning Clouds, The|No Blues||
Fryars|Cool Like Me|lHZy9pynB18|
Fryars|Prettiest Ones Fly Highest||
Fucked Up|Led By Hand|xtv4_o6XrEg|
Fucked Up|Paper The House|9IiCOgJevIY|
Fujiya & Miyagi|Flaws|h05cqXcWq_o|
Funeral For A Friend|You've Got A Bad Case Of The Religions|G-B5wp964UM|
Funkoars|The D|dXM8NdHrQhA|
Furrs, The|Get On Your Horse|KoIDOj0H1BI|
Future|Benz Friendz (Whatchutola) {Ft. Andre 3000}||
Future|I Be U|amcYOPt5v8U|
Future|I Won {Ft. Kanye West}|i2VrxrGcWl8|
Future Islands|Seasons (Waiting On You)|-5Ae-LhMIG0|
Future Islands|Spirit|IEOOMEPbxtg|
GEMS|Scars|dEGF1MbGh18|
GL|What Happened To Us|60OS9jBvRLI|
GL|Won't You See|9n_epTUxd3k|
GL|Take Me Back|ZP9CWYVBG9g|
GOVS|Australian Summer|3qNSOTdRNII|
GOVS|There Comes A Time {Ft. San Mei}|PrzOulikQ7U|
GRMM|Electrify {Ft. Father Dude}|juv4RH8si3A|
GRMM|Circles {Ft. Yasmin}|4nxwsIZae9E|
GXNXVS|Easily|4b_OzUn9Jpo|
Gallows|Chains|a7cc5pMA0xk|
Gang Of Youths|Benevolence Riots||
Gang Of Youths|Riverlands|AAqAjmrjdcs|
Gang Of Youths|Poison Drum|yqi2dT5rRtw|
Gaslight Anthem, The|Get Hurt|QV9uGjhx5vw|
Gaslight Anthem, The|Rollin' And Tumblin'|iy8hLP3SFkk|
Gaslight Anthem, The|Stay Vicious|K2edphSNRPY|
Gay Paris|Draw, You Harlequin Saints!|vNRJRLh9JGA|
Generik|The Weekend {Ft. Nicky Van She}|_m1HqYHh5Dc|
Gengahr|Powder|tsXIEt5pG_I|
Gengahr|Bathed In Light|TRoiuV8Fcm0|
Geoffrey O'Connor|Her Name On Every Tongue|hTLldqQsoc8|
George Maple|Talk Talk|6c-zHOERb0M|
George Maple|Vacant Space|JtPa31ggsJ8|
Georgia Fair|Break|NSw05TXmMlc|
Gerard Way|No Shows|FsDSIEq7O08|
Ghost Inside, The|Out Of Control|uWn79Cpy6Xk|
Ghost Inside, The|With The Wolves|FXI0CV6daU8|
Ghost Inside, The|Dear Youth (Day 52)|e42u_KQj20o&list=RDe42u_KQj20o|
Ghost Inside, The|Avalanche|cASpchz2npg|
Ghostface Killah|Love Don't Live Here No More {Ft. Kandace Springs}|x672CmySw-k|
Ghostface Killah & BADBADNOTGOOD|Gunshowers {Ft. Elzhi}|H-qmZ_J7WGc|
Ginger And The Ghost|Call Up The Whales|X-mhycz0jOo|
Giorgio Moroder|74 Is The New 24|7u5c-Qndqio|
Girlpool|Blah Blah Blah|xWqzp3JGrRY|
Glass Animals|Holiest {Ft. Tei-Shi}|wwr-0Ps1xY8|
Glass Animals|Pools|HQYC2EfzZZw|
Glass Animals|Hazey|nOHEuhJf7nA|
Glass Animals|Gooey|IIA1XQnAv5s|
Glass Animals|Black Mambo|D0IOYcKgfJQ|
Glass Animals|Walla Walla|4v9DwBdAVYI|
Glass Animals|Love Lockdown {Like A Version 2014}|Yq94NXeBOu4|
Glass Animals|Flip|7TPx_k6C7ZQ|
Glass Ocean|Light Of The Moon|l3w7lxbudYQ|
Glass Skies|Lemonade||
Glass Skies|Highway|OsKVhMXMqgI|
Goat|Words|oMzbwpB7_mA|
Goat|Hide From The Sun|tnu_O5P8P5I|
GodWolf|See It Through|MRyafuPoanY|
GodWolf|So Much More Than Me|_ltUGrVl5tY|
Gold Fields|Hold Me|akek22xTvuI|
Gold Is For The Golden Team|Gimme Something||
Gold Panda|Clarke's Dream|_HNTXAQKTk0|
GoldLink|Sober Thoughts {Ft. Kaytranada}|mT7-QGJnIV4|
Golden Features|Guillotine|qOEofD1pkhg|
Golden Features|Tell Me {Ft. Nicole Millar}|jDnx1K7r_fs|
Goldroom|Till Sunrise {Ft. Mammals}|MUGRakKM-XU|
Gooch Palms, The|Trackside Daze||
Good Sports, The|Out Of The Way||
Good Sports, The|No Sleep Pt. 2|QWZFtsV66HA|
Gordi|Nothing's As It Seems|9J7nEehvAOk|
Gorgon City|Here For You {Ft. Laura Welsh}|AC0rqLvYTIg|
Gorgon City|Ready For Your Love {Ft. MNEK}|8B93tgRxMuE|
Grace|Pluto|u2OYqrxJZ0w|
Grace Barbe|Afro-Sega|G4ZG0YlNU64|
Grace Mitchell|Broken Over You|d2w7HpnfhXI|
Grand Pavilion|Weightless|jVVMLqHWLuk|
Graphic Characters|Back To Hell|ZGwcBtvadqg|
Grates, The|7-Eleven||
Grates, The|Holiday Home|t7dWrJP0GYw|
Grates, The|Friends With Scum||
Grates, The|Wild One|v_ZH6-gNnVw|
Grates, The|Dirty Hands|hCHoo2KOoKE|
Grates, The|Call Me||
Grates, The|It Won't Hurt Anymore|OgNRhWL2kO4|
Grates, The|Wish I Was Alone||
Graveyard Train|Takes One To Know One|2-8J2GMRQRg|
Green Stone Garden|Steam||
Grenadiers|Factotum|9vZUGIY60mM|
Greta Mob|Gypsy Town [Revisited] {Ft. Spencer P Jones}|gaXI4pqm3p8|
Greys|Guy Picciotto|DNYs80Y48kQ|
Grimes|Go {Ft. Blood Diamonds}|vIi57zhDl78|
Griswolds, The|Riptide {Like A Version 2014}|Mco73lwHMMc|
Griswolds, The|16 Years|3G5F4QDoIXo|
Griswolds, The|Beware The Dog|UlbU1VeqpqU|
Grouplove|Spiderhead {Like A Version 2014}|DOYyMoHDR3Y|
Grum|Tears|CbyCyxg9Yt0|
Guerre|Deatheat|kY0nEpCqa0c|
Gum|Misunderstanding|lVeNfjoI2eM|
Gunns|The Fool|Puoj-Y-Nmok|
GusGus|Airwaves|v6TP-M3dKcY|
HAIM|My Song 5 {Ft. A$AP Ferg}|QkkdtGyhSIU|
HAMJAM|Love|iz_rDW02oBc|
HNNY|Oma Doris|ey-4Y1EymlE|
HTRK|Blue Sunshine|GSOrAwCDWvU|
HTRK|Give It Up|63xyKk__uII|
HWLS|004 {Ft. Noah Breakfast}|miXYHRVWGaU|
HWLS|1|5a93HTfNF_s|
Haerts|Giving Up|pto_MOylvEY|
Hailer|Digging Holes|tyXyB3kJP20|
Halcyon Drive|Whitewash|OrwlzPUpIDE|
Hamilton Leithauser|Alexandra|eTvcAm_BxQg|
Hannah Joy|Shiver, Wither||
Hannah Joy|Fire In Your Eyes||
Hanni El Khatib|Moonlight|dn8Gu0St7zs|
Harmony|Water Runs Cold|aurDbCT1nZ8|
Harpoons, The|Unforgettable|rMMqN2w2e_Y|
Harpoons, The|Can We Work This Out|aJuu8w5JdxE|
Harts|When A Man's A Fool|BaU0UlTaGEM|
Harts|Angels Walk Below|JAgkEsdrGak|
Harts|Red & Blue||
Harts|Lovers In Bloom|ZYV0cXcta9U|
Hatch|New Direction|f2Yx6RRGL-U|
Hau|Back On the Job||
Hau|So Deep|2NEGcGQ73Vg|
Hawk House|Chill Pill (Experiment 2)|nRRb5Mqr3VE|
Hawk House|My Mind is a Weapon|j1BkKN814kM|
Hayden Calnin|Comatose|cu4cBhgR-gM|
Hello Satellites|Hollering Saints|MoixPR4XSLE|
Hermitude|Ukiyo|8tMWcbXWo0Q|
Herve|Tear The House Up {Ft. Zebra Katz}|m5By5X6sl_U|
Hey Geronimo|Finale||
Hey Geronimo|The Girl Who Likes Me|Bf13rmNKKKg|
Hiatus Kaiyote|By Fire|-Ilr1AY41AA|
High-Tails|Bending Over Backwards|XmlZV-AxyQs|
High-Tails|Aztecks||
Highasakite|Since Last Wednesday|1GZHB0v7y6w|
Highasakite|Darth Vader|QfQSN4-9B6A|
Highasakite|Heavenly Father {Like A Version 2014}|DX0ItgAbRpU|
Hilltop Hoods|Won't Let You Down {Ft. Maverick Sabre}|X6G2fzPTwOA|
Hilltop Hoods|Pyramid Building||
Hilltop Hoods|Rumble, Young Man, Rumble {Ft. Dan Sultan}||
Hilltop Hoods|Live & Let Go {Ft. Maverick Sabre/Brother Ali}||
Hilltop Hoods|Cosby Sweater|aB16fJpoj-I|
Hilltop Hoods|I'm A Ghost|lFfcMx4FQfk|
Hilltop Hoods|Brainbox {Ft. Drapht}||
Hilltop Hoods|The Art Of The Handshake|xpQgyWGvJPY|
Hilltop Hoods|Walking Under Stars||
History Of Apple Pie, The|Don't You Wanna Be Mine?|MbtPNOLrzhE|
Hockey Dad|I Need A Woman|dKCpPWEvZJ0|
Hockey Dad|Seaweed|Fpx9g0Sj9Go|
Hold Fast For Now|Horizon||
Hold Steady, The|Spinners|QkvM224AsOc|
Holiday Sidewinder|Carousel|Cf3RnA4uwhA|
Holidays, The|Long Now|rAVjEAqtkBc|
Holidays, The|Outsiders|_RCXKvnJxXU|
Holidays, The|Simple Pleasures|L4tvL0f_TKo|
Holidays, The|Please Forget|gtHNLv-aAk8|
Holidays, The|Home|D0LSGM2dYMM|
Holidays, The|Is This How You Feel? {Like A Version 2014}|J_OM-6owm_8|
Holidays, The|Tongue Talk|RRkHtxtzxhY|
Holy Fuck|Sabbatics||
Holy Holy|House Of Cards|fscfRnr1-Ic|
Holy Holy|History|bKH18omeDt0|
Holy Holy|Love Will Tear Us Apart {Like A Version 2014}|3-yr9xKTcjg|
Homeboy Sandman|Bad Meaning Good|Rf8QxMpKAM4|
Hoodlem|Old Friend|dZwWBNaaR-s|
Hoodlem|IGOTU||
Hookworms|On Leaving|NM99mTEHdZY|
Hookworms|Radio Tokyo|OMmmx1x-bN4|
Hooray For Earth|Keys|JC5_QVPicdQ|
Hopium|Dreamers {Ft. Phoebe Lou}|-ZimhL9YvzI|
Horror My Friend|Nothing|R4PM2sh0QxY|
Horror My Friend|Kaleidoscope|TMmIJeB51sI|
Horrors, The|I See You|CN0jkdTvl9s|
Horrors, The|So Now You Know|Wr7TAfOkEVc|
Hospitality|I Miss Your Bones|IKZZoHZvZ5c|
Hot Since 82|Restless|lVB3Rcj72wE|
Howler|Don't Wanna|50QFJJQGTrs|
Howling Bells|Slowburn|Rn_B8B7jRS0|
Hudson & Troop|Flying Close|vKBeQT6jM4o|
Hudson & Troop|Frameless|QyFcRj72MtM|
Hudson Mohawke|Chimes (Remix) {Ft. Pusha-T, Future, French Montana & Travi$ Scott}|x8CDH4yDIGU|
Hudson Mohawke|Chimes|k_MWuP2Qj7U|
Hundred Waters|Murmurs|vo-8Oa2t4Ro|
Hurray For The Riff Raff|No One Else|F5SjMOvuIgE|
Husband|Caught|P7IUIyCMrcU|
Husky|I'm Not Coming Back|eRRE91qHCIE|
Husky|Saint Joan|Ljg5PveohSQ|
I Am Giant|Death Of You|wtrECZEMbCo|
I Am The Avalanche|Shape I'm In|0uDWbne_b4Q|
I Killed The Prom Queen|To The Wolves|zok3T1ORhiE|
I Killed The Prom Queen|Thirty One And Sevens||
I Know Leopard|Perfect Picture|8g46WjbtEhU|
I Know Leopard|Hold This Tight|81pJvXdUeJ4|
I Know Leopard|Daisy Eyes|R_raAMuwveM|
I, A Man|In Time|VGCjlJEVFGo|
IYES|Breathe|lx0th89j8R8|
Ibeyi|Oya|nAzjmDZD4aY|
Ibeyi|River|lHRAPIwsS5I|
Iceage|The Lord's Favorite|roB4hRdLlas|
Iceage|Forever|EagCKe2Au8E|
Illy|Tightrope {Ft. Scarlett Stevens}|sZTZt3bmnHo|
In Flames|Rusted Nail|R9lCXVFCs20|
In Hearts Wake|Divine|zUy9ytCkEjk|
In Hearts Wake|Afterglow|1FMDQunj0gY|
In Hearts Wake|Earthwalker {Ft. Joel Birch}|kQ0QCx792gI|
Indian Summer|Shiner {Ft. Ginger & The Ghost}|vHgSp0_Xumk|
Infants, The|Ape|i1FRPpnlsW0|
Infants, The|Halves|7zixUkvZYwM|
Interpol|All The Rage Back Home|-u6DvRyyKGU|
Interpol|Ancient Ways|ni9bLpflDCY|
Interpol|My Blue Supreme|2387cAi6Wk8|
Interpol|My Desire|692QlOQytTY|
It's A Hoax|Out Of It|TVtSyFpt-CU|
J. Roddy Walston & The Business|Heavy Bells|uc_6nRP-jC0|
JOY.|Stone|bEgaV6GUNaM|
JOY.|Captured|fdCr1zEtdp8|
Jaakko Eino Kalevi|When You Walk Through Them All|Q3_gaPvfOuM|
Jack Colwell|Seek The Wilde||
Jack Colwell & The Owls|Far From View|khRko_yKQPU|
Jack Ladder & The Dreamlanders|Her Hands|X2KQeqXl6ZM|
Jack Ladder & The Dreamlanders|Come On Back This Way {Ft. Sharon Van Etten}|S-mXg102aMQ|
Jack White|Alone In My Home|rTUwx17s1_8|
Jack White|Lazaretto|qI-95cTMeLM|
Jack White|Three Women|6hy3oXRSgf4|
Jack White|High Ball Stepper|sRbnAxrS3EM|
Jack White|Temporary Ground|d0xLiKK7PqE|
Jack White|Would You Fight For My Love?|MQOnbp_DspY|
Jack White|That Black Bat Licorice|b46yzioCxPI|
Jack White|Just One Drink|PyONup-89kg|
Jackie Onassis|NSY|pCwx8NoGKrs|
Jackie Onassis|Special Occasion|tJV0Ib66QJg|
Jackie Onassis|Drunk In Love {Like A Version 2014}|r1FAaGvEEd4|
Jackie Onassis|Back Home Again {Ft. Solo}|GkWfptsjCxs|
Jagwar Ma|Why'd You Only Call Me When You're High? {Like A Version 2014}||
Jakarta Criers|Long Way Round|_YC-AmU8LHc|
Jakarta Criers|Alright For Me|CKutTBfad7Y|
Jake Bullit|Pain Killer|7dmU8XCbMSk|
Jamaica|Two On Two|EoCulvhm8iY|
James Curd & Luke Million|Say The Words To You {Ft. Nah Man!}|Jw4DXVdZJTQ|
James Vincent McMorrow|Gold|mJsBpng1wY0|
James Vincent McMorrow|Repeating||
James Vincent McMorrow|All Points|u08DYpj3OKY|
James Vincent McMorrow|Red Dust|jgE3AengS0A|
James Vincent McMorrow|West Coast {Like A Version 2014}|nbKycbLOuf0|
James Vincent McMorrow|Post Tropical|7KkhL44JlB4|
James Vincent McMorrow|The Lakes|XmMghEWOSCI|
Jamie T|Rabbit Hole|JeYV1BsHDrU|
Jamie T|The Prophet|bXMW-DBQA10|
Jamie T|Peter|dWA7dGGWOBw|
Jamie T|Turn On The Light|HiV4XDZxWGE|
Jamie T|Trouble|MoUfIez6IaA|
Jamie T|Limits Lie|Jo4_cMtixSM|
Jamie T|Zombie|3PU4d5Iogd4|
Jamie T|Don't You Find|-tmoaFAT108|
Jamie xx|Girl|r7gmVWgEpRc|
Jamie xx|Sleep Sound|X_Gx2-yeNlk|
Jamie xx|All Under One Roof Raving|wk28cgCG3Ho|
Jane Tyrrell|Wild Waters|eVi9hQ1AquE|
Jane Tyrrell|Echoes In The Aviary|m4yzrXA7vV4|
