artist|song|youtube_key|spotify_key
Astronomy Class|Four Barang In A Tuk-Tuk|PKvA3AN3ApY|
At The Gates|At War With Reality|aoJYZITMZAI|
Atmosphere|The World Might Not Live Through The Night|ul8gKMZWVe0|
Attaque|Change Your Mind|i1yASokU590|
Augie March|A Dog Starved|DCE0zKxgyKI|
Augie March|Definitive History|PXED2xHu3OQ|
Augie March|After The Crack Up|1qrwkM-wT_g|
Augie March|Villa Adriana||
Ausmuteants|Freedom Of Information|PdbiWzaoZv4|
Austra|Habitat|3FgXIjWFTks|
Avener, The|Fade Out Lines|6CJrUJVtV-E|
Avey Tare's Slasher Flicks|Little Fang|JBvS-2KEOic|
Avi Buffalo|Memories Of You|chi2jMLmCrg|
Ayla|Wish I Was|13sSK8mk-aU|
Azealia Banks|Chasing Time|jtTjzDTpx8o|
Azura|Smoke|rMVT-UUYT4g|
Azura|Nineteen||
BADBADNOTGOOD|Triangle|xT1EKlrFH8c|
BADBADNOTGOOD|Can't Leave The Night|caY0MEok19I|
BASECAMP|Emmanuel|eKRTIPIIsws|
BORNS|10,000 Emerald Pools|LDTYp4a_eWM|
Baauer|One Touch {Ft. AlunaGeorge & Rae Sremmurd}|tITYj52gXxU|
Baauer|Clang|2_59AD5bWNI|
Baauer & Boys Noize|Fire Like This|sQ_tdwi81ho|
Babaganouj|Too Late For Love|aHbQHTqZyao|
Babaganouj|Bluff|B3PulKRypxY|
Babe Rainbow, The|Planet Junior|Z2cWtr7Z-H0|
Babe Rainbow, The|Secret Enchanted Broccoli Forest|lh2qHxUDt6o|
Babe Rainbow, The|Evolution 1964|H3JfVwXr5w4|
Bacchanales, The|Why It Stopped Raining?|kujA1YOTh9Y|
Bad//Dreems|Dumb Ideas|LeFzlUygDJE|
Bad//Dreems|My Only Friend|5BhZHRsYtCk|
BadCop|One Million {Ft. Francis P}||
Bag Raiders|Nairobi|0TsTRLbQW8s|
Bahamas|Stronger Than That|T0-AU9CMYjY|
Ball Park Music|Trippin' The Light Fantastic|aNZ6Tr3cTT0|
Ball Park Music|Next Life Already|yzM5ZEgBueE|
Ball Park Music|Everything Is Shit Except My Friendship With You|zI__0qJfP5M|
Ball Park Music|Cocaine Lion|YdC42cdj_18|
Ball Park Music|Error Playin'||
Ball Park Music|Teenager Pie|jPZ8SCf6UZ0|
Ball Park Music|Diane Young {Like A Version 2014}|EMTQ-0tXpP8|
Ball Park Music|A Good Life Is The Best Revenge|_p9TFVBNSmA|
Ball Park Music|She Only Loves Me When I'm There|zEu0CZp7DUs|
Ballet School|Cherish|y8MTjrSZCa8|
Bam Bam|Feel Like I'm Alive {Ft. Tigerilla}|x9nJAt95lrE|
Band Of Skulls|Nightmares|zxntDF0-5Uk|
Band Of Skulls|Himalayan|/playlist?list=PLHl6IKxx2oKrsAMGZOeLxo5HyWkndJlqf|
Band Of Skulls|Hoochie Coochie|YwUIdCIOJrg|
Banks|Warm Water|hYG3iIcZOkw|
Banks|Goddess|S98Q11zhS-g|
Banks|Waiting Game|IaI5JCxOCdw|
Banks|Alibi|fDTQZBRtbAY|
Banks|Drowning|HzGHgQBPyV0|
Banks|Beggin For Thread|Twix375Me4Q|
Banks|Stick|BeRW-U5bP_8|
Banks|You Should Know Where I'm Coming From|bxEuRDi3h8Q|
Banks|Brain|NL9T42SVnN0|
Banoffee|Got It|HeY8C_hR2wg|
Banoffee|Let's Go To The Beach|WmyT4B-wJF8|
Baro|Cinema {Ft. Emerson Alexander}|_1P9w-fTGik|
Baro|Cigarretes {Ft. Jublet}||
Basement Jaxx|Unicorn|MUXnwE-BJlQ|
Basenji|Dawn|sfO8NkUF2AY|
Basenji|Heirloom|Ki300WC61UE|
Basics, The|The Lucky Country|DfIzY1vDD_E|
Bass Drum Of Death|Left For Dead|iK9mt6M-5b4|
Bat For Lashes|Skin Song|iZlMD0_7EyA|
Battleships|You Can't Change It|j2tRQtvc8AQ|
Bear Hands|Peacekeeper|DQwG6Ya9pyY|
Bear Hands|Giants|PG_D-JpGqsM|
Bear In Heaven|Autumn|K32l-6TFpOo|
Bear's Den|Elysium|BH-wP2TDUBQ|
Beards, The|All The Bearded Ladies|9ua2_UaCPgA|
Bearhug|Catacombs||
Bearhug|Animal|mKo9mvuxNaM|
Beaty Heart|Seafood|zqOBOBlcYcA|
Beaty Heart|Kanute's Comin' Round|gfXMa55K-wM|
Beautiful Girls, The|Dancehall Days|LK8W--RzEFk|
Beck|Blue Moon|WIWbgR4vYiw|
Beck|Morning|GZo8_IV0IGQ|
Beck|Wave|m2DLZkv4Yvg|
Beck|Unforgiven|ZGgDI7ewkFs|
Beck|Waking Light|9ev5gip24SE|
Behemoth|Blow Your Trumpets Gabriel|SnTL1L8a6YI|
Belle & Sebastian|The Party Line|3vS1Hf3CVGs|
Belligerents, The|In My Way|edgkQmedVdE|
Belligerents, The|I Don't Want To Be In Your Arms|vwmag0ucYmU|
Ben Frost|Venter|9LJ2X1ZRVmA|
Ben Khan|Youth|-Jou5TY7Vp8|
Ben Khan|Eden|MzfLnaZ6FY0|
Ben Wright Smith|Fictional|ZdZgoCJi1vw|
Beni|Protect|5_90jpFnyjE|
Benjamin Booker|Have You Seen My Son?|hkUIknxbg6Y|
Benjamin Booker|Violent Shiver|zm-rb8k1HkU|
Bennies, The|Heavy Disco|9ToKK8eLBwo|
Bennies, The|Knights Forever|4cwMdk1kPSo|
Benny Benassi|Shooting Helicopters {Ft. Serj Tankian}|BNpaqZWEcb0|
Bertie Blackman|Kingdom Of Alone|BkojpgDp_3U|
Bertie Blackman|War Of One|hXr3de7Px2k|
Bertie Blackman|Run For Your Life|4qczcJqyiRQ|
Beth Ditto x The Shoes|Cerrone's Supernature||
Bibio|Down To The Sound|OVE2z6C3OTw|
Biddlewood|Young And Foolish|W-F6CYAFkFE|
Big Boi|Mother Of Dragons|HONouysJAqU|
Big Data|Dangerous {Ft. Joywave}|E8b4xYbEugo|
Big Deal|Always Boys|psmJr-I-YSE|
Big K.R.I.T.|Pay Attention|ik_h_J7YFHk|
Big K.R.I.T.|Cadillactica|UT7X2LfCn5w|
Big K.R.I.T.|Soul Food|oLJlfwZ-xZ8|
Billy Fox|Mystery|laGcn3x0l08|
Billy Talent|Kingdom Of Zod|gsnmUdGnJhc|
Bipolar Sunshine|Where Did The Love Go|Ll2-C4cJBCM|
Bipolar Sunshine|Deckchairs On The Moon|NUaPAf0uOwA|
Bishop Nehru|You Stressin {Prod. Disclosure}|wBdUwiZL5K8|
Black Keys, The|Weight Of Love|coqtBoZSH1Y|
Black Keys, The|It's Up To You Now|4um4nvJLjT4|
Black Keys, The|Bullet In The Brain|YUkxVXyyIMQ|
Black Keys, The|In Time|fIg5tf5wLTk|
Black Keys, The|10 Lovers|AOa2cHLUnbw|
Black Keys, The|Waiting On Words|3DQSRkbV8M8|
Black Keys, The|Year In Review|QQmFNgnMSoI|
Black Keys, The|Fever|iZZUY32iCzU|
Black Keys, The|Gotta Get Away|VZ2xc_d8uUw|
Black Keys, The|Turn Blue|nfxEbuA22Uk|
Black Lips|Boys In The Wood|I6rRZFw3mMI|
Black Vanilla|Smacks|Czb4rImsph0|
Black Vanilla|Throw It Down|oSvi9KPt1HI|
Blank Realm|Bulldozer Love|lacPB7WL8FQ|
Blank Realm|Reach You On The Phone|ibNun8fuAgw|
Blank Realm|Back To The Flood|SNt4NM9xtFY|
Blaq Carrie|Reality|QZqmGBk4WzY|
Blood Red Shoes|An Animal|IUWfid5nIcY|
Blood Red Shoes|The Perfect Mess|Wl-ubGt0eLI|
Bloods|Penelope||
Bloods|Want It|n3NJc5ugGms|
Bloods|Thinkin' About You|r4x9A1cZnbc|
Blue King Brown|All Nations|D1J8t-4MpiE|
Blue King Brown|Rize Up|Og_nphtjEFw|
Bluejuice|I'll Go Crazy|c2bk8msu2Rw|
Bohicas, The|Swarm|uunInSzRISE|
Bok Bok|Melba's Call {Ft. Kelela}|iprGdZfZe1k|
Bombay Bicycle Club|It's Alright Now|T7ZSI4-MHWg|
Bombay Bicycle Club|Luna|JwlgC-jSPTk|
Bombay Bicycle Club|Feel|etmFT1OQSnc|
Bombay Royale, The|Henna Henna|vgXEcwcyyMI|
Bon Chat, Bon Rat|Escapism||
Bon Iver|Heavenly Father|A2CbQpo-8CE|
Bon Scotts, The|Summer Tapes||
Bonjah|Honey|yZ9Jy3407Gc|
Bonjah|Other Side|Zyz8MOhLmUo|
Bonnie 'Prince' Billy|Quail And Dumplings|SjugCIQV3Ec|
Bonobo|Duals|umR2SmKaCo8|
Bonobo|Flashlight|l5gbk0xjRWI|
Boomgates|Tight Knit||
Bootleg Rascal|Kings & Queens||
Bootleg Rascal|Oh I Know|nnYJd5FWIHg|
Bored Nothing|We Lied|7hAQK6fcGVA|
Bored Nothing|Ice-Cream Dreams|3qR8Ipd1fzs|
