artist|song|youtube_key|spotify_key|jjj_preview
Airling|Stallin'|Fio_CWrBRXQ||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/2d267de585845d42a9040be062a0c6f3.mp3
Airling|U Got It Bad {triple j Like A Version}|WmaPRjEUO-w||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/17e6553a92862d8075a5d751341f8e6e.mp3
Akroyd Smart|Different|||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/cf1b90cf5b20d58a7f9a7e404d59669c.mp3
Alabama Shakes|Future People|iraraKH0_Tk||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/8f09a1366541f0ae57efd0375046e60b.mp3
Alabama Shakes|Don't Wanna Fight|x-5OX7CO26c||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/bdb2035dfc5f559045297b7ba7e25334.mp3
Alba|Operator|zdqp72oU19w||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/4b95f5dcb5f0e15aff135c9e79bafb3e.mp3
Alba|The Shift|||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/7db468dd2c1482707c0d2c1e3ff30a8d.mp3
Albert Hammond Jr|Born Slippy|YSJvqciulr4||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/6ac1ec081e6bfd6be112e69b54af611c.mp3
Alex G|Salt|Fxhlve1jdJk||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/cb0260a1add266d9d33bfb2a35152efd.mp3
Alex Lahey|Air Mail|ZYU26fPMg-o||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/a6599d9274a9d39e956c4b52da776bea.mp3
Algiers|Black Eunuch|IGV9rFA-tRk||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/44d8e89f77f648bfa7c05f3f6f645427.mp3
Algiers|Blood|g3L0NI8vcMg||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/106fc9ce5998613723e2fc4be7e3fc40.mp3
Algiers|Irony Utility Pretext|bpLMc6nWtJw||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/e677b880cc74a2dfd8ee1c633546b7d4.mp3
Ali Barter|Hypercolour|cjjqtZqc1ac||http://mpegmedia.abc.net.au/triplej/hottest100/15/samples/613b855c659e6ac4b1756b012d1c7b25.mp3
